Ubigeo,Departamento,Year,Variable,Value
10000,AMAZONAS,1795,gdpdep,27649.30791
20000,ANCASH,1795,gdpdep,80707
30000,APURIMAC,1795,gdpdep,82086
40000,AREQUIPA,1795,gdpdep,100962
50000,AYACUCHO,1795,gdpdep,146959
60000,CAJAMARCA,1795,gdpdep,65645.74924
80000,CUSCO,1795,gdpdep,192893.7277
90000,HUANCAVELICA,1795,gdpdep,49024
100000,HUANUCO,1795,gdpdep,36612.03082
110000,ICA,1795,gdpdep,37373
120000,JUNIN,1795,gdpdep,62217.50648
130000,LA LIBERTAD,1795,gdpdep,85221.16335
140000,LAMBAYEQUE,1795,gdpdep,37810
150000,LIMA,1795,gdpdep,203752
160000,LORETO,1795,gdpdep,37153.76
170000,MADRE DE DIOS,1795,gdpdep,37916.00566
180000,MOQUEGUA,1795,gdpdep,31516
190000,PASCO,1795,gdpdep,104587.9096
200000,PIURA,1795,gdpdep,43451
210000,PUNO,1795,gdpdep,57258.43936
220000,SAN MARTIN,1795,gdpdep,42061.06017
230000,TACNA,1795,gdpdep,32106
240000,TUMBES,1795,gdpdep,3809
250000,UCAYALI,1795,gdpdep,48965.51133
10000,AMAZONAS,1796,gdpdep,28473.30791
20000,ANCASH,1796,gdpdep,80438
30000,APURIMAC,1796,gdpdep,80874
40000,AREQUIPA,1796,gdpdep,101430
50000,AYACUCHO,1796,gdpdep,143871
60000,CAJAMARCA,1796,gdpdep,65953.74924
80000,CUSCO,1796,gdpdep,190682.7277
90000,HUANCAVELICA,1796,gdpdep,49598
100000,HUANUCO,1796,gdpdep,36403.03082
110000,ICA,1796,gdpdep,40348
120000,JUNIN,1796,gdpdep,60104.50648
130000,LA LIBERTAD,1796,gdpdep,84268.16335
140000,LAMBAYEQUE,1796,gdpdep,39295
150000,LIMA,1796,gdpdep,203678
160000,LORETO,1796,gdpdep,36970.76
170000,MADRE DE DIOS,1796,gdpdep,37770.00566
180000,MOQUEGUA,1796,gdpdep,31428
190000,PASCO,1796,gdpdep,100524.9096
200000,PIURA,1796,gdpdep,43049
210000,PUNO,1796,gdpdep,58391.43936
220000,SAN MARTIN,1796,gdpdep,42000.06017
230000,TACNA,1796,gdpdep,31201
240000,TUMBES,1796,gdpdep,4151
250000,UCAYALI,1796,gdpdep,48964.51133
10000,AMAZONAS,1797,gdpdep,28606.30791
20000,ANCASH,1797,gdpdep,78160
30000,APURIMAC,1797,gdpdep,77586
40000,AREQUIPA,1797,gdpdep,98435
50000,AYACUCHO,1797,gdpdep,136094
60000,CAJAMARCA,1797,gdpdep,64696.74924
80000,CUSCO,1797,gdpdep,184131.7277
90000,HUANCAVELICA,1797,gdpdep,48881
100000,HUANUCO,1797,gdpdep,35411.03082
110000,ICA,1797,gdpdep,37801
120000,JUNIN,1797,gdpdep,56793.50648
130000,LA LIBERTAD,1797,gdpdep,80590.16335
140000,LAMBAYEQUE,1797,gdpdep,38431
150000,LIMA,1797,gdpdep,197125
160000,LORETO,1797,gdpdep,36672.76
170000,MADRE DE DIOS,1797,gdpdep,37494.00566
180000,MOQUEGUA,1797,gdpdep,30521
190000,PASCO,1797,gdpdep,90531.90958
200000,PIURA,1797,gdpdep,41695
210000,PUNO,1797,gdpdep,58011.43936
220000,SAN MARTIN,1797,gdpdep,41229.06017
230000,TACNA,1797,gdpdep,29533
240000,TUMBES,1797,gdpdep,3967
250000,UCAYALI,1797,gdpdep,48943.51133
10000,AMAZONAS,1798,gdpdep,28771.30791
20000,ANCASH,1798,gdpdep,76119
30000,APURIMAC,1798,gdpdep,74545
40000,AREQUIPA,1798,gdpdep,93901
50000,AYACUCHO,1798,gdpdep,130216
60000,CAJAMARCA,1798,gdpdep,63492.74924
